country,iso_code,year,population,gdp,co2
Seychelles,SYC,2022,125533,3053368129,0.629
Sierra Leone,SLE,2022,8276809,11681270534,1.444
Singapore,SGP,2022,5649888,461801118473,48.934
Sint Maarten (Dutch part),SXM,2022,42163,,0.692
Slovakia,SVK,2022,5473195,150360426456,31.589
Slovenia,SVN,2022,2115231,69385349463,12.728
Solomon Islands,SLB,2022,781075,,0.283
Somalia,SOM,2022,17801895,,1.271
South Africa,ZAF,2022,62378417,723559323969,428.782
South America,,2022,430492816,,1100.028
South America (GCP),,2022,,,1100.028
South Korea,KOR,2022,51782515,2137558645699,606.877
South Sudan,SSD,2022,11021175,,1.634
Spain,ESP,2022,47828386,1625139888517,234.223
Sri Lanka,LKA,2022,22834965,254748598293,18.377
Sudan,SDN,2022,49383344,,17.529
Suriname,SUR,2022,623172,,2.828
Sweden,SWE,2022,10487335,494214521158,36.342
Switzerland,CHE,2022,8792180,559384947989,32.951
Syria,SYR,2022,22462170,52353139385,31.423
Taiwan,TWN,2022,23420107,1247874288934,273.989
Tajikistan,TJK,2022,10182228,50544013546,10.521
Tanzania,TZA,2022,64711822,198220407805,19.702
Thailand,THA,2022,71735321,1124143758569,272.573
Togo,TGO,2022,8068616,14265660408,2.739
Tonga,TON,2022,105053,,0.147
Trinidad and Tobago,TTO,2022,1495923,37513383973,37.493
Tunisia,TUN,2022,12119338,129457959410,30.785
Turkey,TUR,2022,87058469,2385996374127,443.603
Turkmenistan,TKM,2022,7230197,97502944727,102.063
Turks and Caicos Islands,TCA,2022,45869,,0.366
Tuvalu,TUV,2022,10012,,0.011
Uganda,UGA,2022,47312718,101995416951,6.128
Ukraine,UKR,2022,41048768,309166674673,143.040
United Arab Emirates,ARE,2022,10242085,779701520404,207.103
United Kingdom,GBR,2022,68179315,2615230634906,311.118
United States,USA,2022,341534041,19493170182843,5055.403
Upper-middle-income countries,,2022,2847730001,,17458.070
Uruguay,URY,2022,3390913,69066228178,7.501
Uzbekistan,UZB,2022,34938953,393572464308,119.105
Vanuatu,VUT,2022,313061,,0.189
Vatican,VAT,2022,513,,
Venezuela,VEN,2022,28213015,149682062815,108.424
Vietnam,VNM,2022,99680656,833803909046,322.653
Wallis and Futuna,WLF,2022,11501,,0.029
World,,2022,8021407196,130112562171125,37527.773
Yemen,YEM,2022,38222878,60852995288,10.404
Zambia,ZMB,2022,20152935,68469600029,10.939
Zimbabwe,ZWE,2022,16069061,25901585881,12.232
